title_uuid,title_uid,title_node_id,title_format_paper,title_format_size,title_pub_freq,title_date,title_genre_1,title_genre_2,title_title_j,title_role_editor,title_imprint,title_pub_add,title_pub_city,title_pub_stat,title_pub_nat,title_collected,title_published,title_content_url
83,snm,contexts2,slick-insert,"std, (07.x10)",monthly,1929,sex,rom,Snappy Magazine,Merle W. Hersey,D.M. Publishing Co.,900 Market St.,Wilmington,DE,US,1,105,http://www.pulpmags.org/content/view/issues/snappy-magazine.html
86,spi,contexts2,slick-insert,"std, (07.x10)",monthly,1928,sex,rom,Spicy Stories,Merle W. Hersey,D.M. Publishing Co.,900 Market St.,Wilmington,DE,US,1,117,http://www.pulpmags.org/contexts/nodes/girlie-pulps-the.html
87,sta,pulpmags,pulp-paper,"std, (07.x10)",monthly,1939,sff,adv,Startling Stories,Mortimer Weisinger,"Better Publications, Inc.",10 E. 40th St.,New York,NY,US,15,99,http://www.pulpmags.org/content/view/issues/startling-stories.html
88,swe,pulpmags,pulp-paper,"std, (07.x10)",monthly,1925,rom,lov,Sweetheart Stories,Florence A. McChesney; Dorothy F. Grinnell,Dell Publishing Co.,46 W. 24th St.,New York,NY,US,1,324,http://www.pulpmags.org/content/view/issues/sweetheart-stories.html
89,tad,pulpmags,pulp-paper,"std, (07.x10)",monthly,1931,adv,ant,Thrilling Adventures,J.S. Williams,Metropolitan Magazines,570 Seventh Ave.,New York,NY,US,3,139,http://www.pulpmags.org/content/view/issues/thrilling-adventures.html
90,tin,pulpmags,pulp-paper,"und, (05.x08)",monthly,1950,sff,adv,Thrills Incorporated,Alister Innes,Transport Publishing Co. (Assoc. Gen. Pub.),"Hunter House, 26 Hunter St.",Sydney,NSW,AU,7,23,http://www.pulpmags.org/content/view/issues/thrills-incorporated.html
91,tip,contexts1,news-print,"qrt, (8.5x11)",weekly,1896,adv,boy,Tip Top Weekly,Frederick Tilney,Street & Smith Corp.,79-89 Seventh Ave.,New York,NY,US,1,1017,http://www.pulpmags.org/contexts/nodes/nickel-weeklies.html
92,top,pulpmags,pulp-paper,"std, (07.x10)",fortnightly,1910,ant,spo,Top-Notch Magazine,Harry W. Thomas,Street & Smith Corp.,79-89 Seventh Ave.,New York,NY,US,5,602,http://www.pulpmags.org/content/view/issues/top-notch-magazine.html
93,wei,pulpmags,pulp-paper,"std, (07.x10)",monthly,1923,wei,sup,Weird Tales,Farnsworth Wright,Popular Fiction Publishing Co.,840 N. Michigan Ave.,Chicago,IL,US,30,279,http://www.pulpmags.org/content/view/issues/weird-tales.html
95,wid,pulpmags,pulp-paper,"std, (07.x10)",fortnightly,1915,ant,boy,Wide-Awake Magazine,Gilbert Patten,Street & Smith Corp.,79-89 Seventh Ave.,New York,NY,US,1,13,http://www.pulpmags.org/content/view/issues/wide-awake-magazine.html
96,wiw,contexts1,news-print,"qrt, (8.5x11)",weekly,1902,wes,boy,Wild West Weekly,Ronald Oliphant,"Harry E. Wolff, Pub.",166 W. 23rd. St.,New York,NY,US,1,1294,http://www.pulpmags.org/contexts/nodes/nickel-weeklies.html
97,won,pulpmags,pulp-paper,"std, (07.x10)",monthly,1930,sff,fan,Wonder Stories,David Lasser,Stellar Publishing Corp.,96-98 Park Place,New York,NY,US,11,66,http://www.pulpmags.org/content/view/issues/wonder-stories.html
99,wor,pulpmags,pulp-paper,"std, (07.x10)",monthly,1922,ant,rep,World Fiction,Harriet V. Wishnieff,Houston Publishing Co.,9 E. 37nd St.,New York,NY,US,1,7,http://www.pulpmags.org/content/view/issues/world-fiction.html
94,wsm,pulpmags,pulp-paper,"std, (07.x10)",weekly,1919,wes,ant,Western Story Magazine,Frank E. Blackwell,Street & Smith Corp.,79-89 Seventh Ave.,New York,NY,US,4,1297,http://www.pulpmags.org/content/view/issues/western-story-magazine.html
98,wsq,pulpmags,pulp-paper,"ovr, (08.x11)",quarterly,1929,sff,ant,Wonder Stories Quarterly,David Lasser,Stellar Publishing Corp.,96-98 Park Place,New York,NY,US,7,14,http://www.pulpmags.org/content/view/issues/wonder-stories-quarterly.html
100,you,contexts3,mixed-grade,"std, (07.x10)",monthly,1897,sex,ant,Young's Magazine,Cashel St. John Pomeroy,C.H. Young Pub. Co.,112-14 E. 19th St.,New York,NY,US,1,368,http://www.pulpmags.org/contexts/nodes/pulps-and-big-slicks.html
